Date	Profits	Increases	Total Months	Average Change	Total	Greatest Increase	Greatest Decrease
Jan-10	867884		86	446309.05	38382578	1926159.0	-2196167.0
Feb-10	984655	116771.0	86	446309.05	38382578	1926159.0	-2196167.0
Mar-10	322013	-662642.0	86	446309.05	38382578	1926159.0	-2196167.0
Apr-10	-69417	-391430.0	86	446309.05	38382578	1926159.0	-2196167.0
May-10	310503	379920.0	86	446309.05	38382578	1926159.0	-2196167.0
Jun-10	522857	212354.0	86	446309.05	38382578	1926159.0	-2196167.0
Jul-10	1033096	510239.0	86	446309.05	38382578	1926159.0	-2196167.0
Aug-10	604885	-428211.0	86	446309.05	38382578	1926159.0	-2196167.0
Sep-10	-216386	-821271.0	86	446309.05	38382578	1926159.0	-2196167.0
Oct-10	477532	693918.0	86	446309.05	38382578	1926159.0	-2196167.0
Nov-10	893810	416278.0	86	446309.05	38382578	1926159.0	-2196167.0
Dec-10	-80353	-974163.0	86	446309.05	38382578	1926159.0	-2196167.0
Jan-11	779806	860159.0	86	446309.05	38382578	1926159.0	-2196167.0
Feb-11	-335203	-1115009.0	86	446309.05	38382578	1926159.0	-2196167.0
Mar-11	697845	1033048.0	86	446309.05	38382578	1926159.0	-2196167.0
Apr-11	793163	95318.0	86	446309.05	38382578	1926159.0	-2196167.0
May-11	485070	-308093.0	86	446309.05	38382578	1926159.0	-2196167.0
Jun-11	584122	99052.0	86	446309.05	38382578	1926159.0	-2196167.0
Jul-11	62729	-521393.0	86	446309.05	38382578	1926159.0	-2196167.0
Aug-11	668179	605450.0	86	446309.05	38382578	1926159.0	-2196167.0
Sep-11	899906	231727.0	86	446309.05	38382578	1926159.0	-2196167.0
Oct-11	834719	-65187.0	86	446309.05	38382578	1926159.0	-2196167.0
Nov-11	132003	-702716.0	86	446309.05	38382578	1926159.0	-2196167.0
Dec-11	309978	177975.0	86	446309.05	38382578	1926159.0	-2196167.0
Jan-12	-755566	-1065544.0	86	446309.05	38382578	1926159.0	-2196167.0
Feb-12	1170593	1926159.0	86	446309.05	38382578	1926159.0	-2196167.0
Mar-12	252788	-917805.0	86	446309.05	38382578	1926159.0	-2196167.0
Apr-12	1151518	898730.0	86	446309.05	38382578	1926159.0	-2196167.0
May-12	817256	-334262.0	86	446309.05	38382578	1926159.0	-2196167.0
Jun-12	570757	-246499.0	86	446309.05	38382578	1926159.0	-2196167.0
Jul-12	506702	-64055.0	86	446309.05	38382578	1926159.0	-2196167.0
Aug-12	-1022534	-1529236.0	86	446309.05	38382578	1926159.0	-2196167.0
Sep-12	475062	1497596.0	86	446309.05	38382578	1926159.0	-2196167.0
Oct-12	779976	304914.0	86	446309.05	38382578	1926159.0	-2196167.0
Nov-12	144175	-635801.0	86	446309.05	38382578	1926159.0	-2196167.0
